                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6566,                0.39015,                0.85157,                0.90311,                0.87642,                0.93962,                0.79652,                0.60206,                0.36524,                0.83344,              0.0090383,              0.0090383,              0.0090383
                     37,                0.65265,                0.38802,                0.85033,                0.90762,                 0.8773,                0.94061,                0.79953,                 0.6011,                 0.3573,                0.83343,                0.00901,                0.00901,                0.00901
                     38,                0.65441,                0.39082,                0.85178,                0.91703,                0.87317,                0.94269,                0.80134,                0.60356,                0.35618,                0.83393,              0.0089817,              0.0089817,              0.0089817
                     39,                0.64878,                0.38434,                0.85192,                0.91614,                0.87338,                0.94301,                0.80196,                0.60178,                0.35551,                0.83336,              0.0089534,              0.0089534,              0.0089534
                     40,                0.64854,                0.38641,                0.85077,                0.91436,                0.88366,                0.94419,                0.80294,                0.60062,                0.35241,                0.83394,              0.0089251,              0.0089251,              0.0089251
                     41,                0.64336,                0.38012,                0.84881,                0.90256,                0.88299,                0.93908,                0.79963,                0.59864,                0.36335,                0.83184,              0.0088969,              0.0088969,              0.0088969
                     42,                0.64671,                  0.382,                0.84998,                0.91014,                0.87728,                0.94001,                0.79991,                0.60175,                0.35948,                0.83448,              0.0088686,              0.0088686,              0.0088686
                     43,                0.64502,                0.38096,                0.84953,                0.91138,                0.86809,                0.93613,                0.79739,                0.59843,                0.36871,                 0.8334,              0.0088403,              0.0088403,              0.0088403
                     44,                0.64081,                0.37837,                0.84853,                0.90671,                0.88013,                0.94122,                0.80183,                 0.5982,                0.35515,                0.83418,               0.008812,               0.008812,               0.008812
                     45,                0.64042,                0.37702,                0.84867,                0.91547,                0.87325,                0.94101,                0.80077,                0.60131,                0.35674,                0.83463,              0.0087837,              0.0087837,              0.0087837
                     46,                0.64177,                 0.3798,                0.84885,                0.91481,                0.87754,                0.94325,                 0.8029,                0.59829,                0.35134,                0.83286,              0.0087554,              0.0087554,              0.0087554
                     47,                0.63772,                0.37718,                0.84736,                0.91142,                0.87642,                0.93966,                0.80122,                0.59421,                0.35406,                0.83355,              0.0087271,              0.0087271,              0.0087271
                     48,                 0.6402,                0.37768,                0.84847,                0.90724,                0.87757,                0.93952,                0.80217,                0.59563,                0.35305,                0.83276,              0.0086989,              0.0086989,              0.0086989
                     49,                0.63517,                0.37478,                0.84836,                0.92001,                0.87049,                0.94186,                 0.8038,                0.59518,                0.35323,                 0.8333,              0.0086706,              0.0086706,              0.0086706
                     50,                0.63195,                0.36983,                0.84442,                0.91031,                 0.8823,                0.94254,                0.80461,                0.59413,                0.34931,                0.83277,              0.0086423,              0.0086423,              0.0086423
                     51,                0.63655,                0.37694,                0.84908,                0.90943,                 0.8818,                0.94291,                0.80428,                0.59658,                0.35085,                0.83314,               0.008614,               0.008614,               0.008614
                     52,                0.63865,                0.37674,                0.84766,                0.90646,                0.88409,                0.94127,                0.80371,                0.59603,                0.35163,                0.83319,              0.0085857,              0.0085857,              0.0085857
                     53,                 0.6372,                0.37832,                0.84837,                0.91351,                0.88342,                0.94344,                 0.8045,                0.59581,                0.34861,                0.83417,              0.0085574,              0.0085574,              0.0085574
                     54,                0.63471,                 0.3738,                0.84591,                0.90911,                0.88379,                0.94352,                0.80618,                0.59286,                0.34751,                0.83188,              0.0085291,              0.0085291,              0.0085291
                     55,                0.63166,                0.37126,                0.84557,                0.91063,                0.88376,                0.94237,                0.80588,                0.59229,                0.34944,                0.83196,              0.0085009,              0.0085009,              0.0085009
                     56,                0.63489,                0.37513,                0.84748,                0.90752,                0.88783,                0.94252,                0.80518,                0.59555,                0.35106,                0.83331,              0.0084726,              0.0084726,              0.0084726
                     57,                0.62922,                0.36772,                0.84412,                0.90476,                0.88918,                0.94208,                0.80541,                0.59366,                0.35087,                0.83305,              0.0084443,              0.0084443,              0.0084443
                     58,                0.62777,                0.36964,                0.84587,                0.91564,                 0.8794,                0.94099,                0.80442,                0.59511,                0.35398,                0.83357,               0.008416,               0.008416,               0.008416
                     59,                0.63058,                0.36848,                0.84619,                0.91178,                0.88483,                0.94279,                0.80666,                0.59115,                0.34953,                 0.8317,              0.0083877,              0.0083877,              0.0083877
                     60,                0.62484,                 0.3678,                0.84437,                0.91169,                0.88451,                0.94208,                0.80502,                0.59429,                0.34914,                0.83299,              0.0083594,              0.0083594,              0.0083594
                     61,                 0.6228,                0.36478,                 0.8429,                 0.9133,                0.88528,                0.94254,                0.80591,                  0.595,                0.35038,                0.83372,              0.0083311,              0.0083311,              0.0083311
